160980.KQ,싸이맥스,특수 목적용 기계 제조업
051170.KQ,썬코어,일반 목적용 기계 제조업
208640.KQ,썸에이지,소프트웨어 개발 및 공급업
222420.KQ,쎄노텍,기타 비금속 광물제품 제조업
049960.KQ,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업
050890.KQ,쏠리드,통신 및 방송 장비 제조업
115480.KQ,씨유메디칼,의료용 기기 제조업
047920.KQ,씨트리,자연과학 및 공학 연구개발업
260930.KQ,씨티케이코스메틱스,기타 화학제품 제조업
246720.KQ,아스타,의료용품 및 기타 의약 관련제품 제조업
067390.KQ,아스트,"항공기,우주선 및 부품 제조업"
060570.KQ,아이리버,영상 및 음향기기 제조업
101390.KQ,아이엠,전자부품 제조업
114810.KQ,아이원스,특수 목적용 기계 제조업
059100.KQ,아이컴포넌트,전자부품 제조업
052460.KQ,아이크래프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
119830.KQ,아이텍반도체,"그외 기타 전문, 과학 및 기술 서비스업"
053800.KQ,안랩,소프트웨어 개발 및 공급업
106080.KQ,알비케이이엠디,전자부품 제조업
255440.KQ,야스,특수 목적용 기계 제조업
109610.KQ,에스와이패널,"구조용 금속제품, 탱크 및 증기발생기 제조업"
069510.KQ,에스텍,영상 및 음향기기 제조업
054630.KQ,에이디칩스,기계장비 및 관련 물품 도매업
044780.KQ,에이치케이,특수 목적용 기계 제조업
089530.KQ,에이티세미콘,반도체 제조업
230360.KQ,에코마케팅,광고업
038110.KQ,에코플라스틱,자동차 신품 부품 제조업
054940.KQ,엑사이엔씨,실내건축 및 건축마무리 공사업
101400.KQ,엔시트론,반도체 제조업
256840.KQ,엔에이치스팩11호,금융 지원 서비스업
206400.KQ,엔터메이트,소프트웨어 개발 및 공급업
138690.KQ,엘아이에스,특수 목적용 기계 제조업
066970.KQ,엘앤에프,일차전지 및 축전지 제조업
073110.KQ,엘엠에스,사진장비 및 광학기기 제조업
083310.KQ,엘오티베큠,특수 목적용 기계 제조업
053280.KQ,예스24,무점포 소매업
045060.KQ,오공,기타 화학제품 제조업
014940.KQ,오리엔탈정공,선박 및 보트 건조업
065500.KQ,오리엔트정공,자동차 신품 부품 제조업
067170.KQ,오텍,기타 금융업
122990.KQ,와이솔,전자부품 제조업
194610.KQ,우성아이비,그외 기타 제품 제조업
104830.KQ,원익머트리얼즈,기초 화학물질 제조업
114190.KQ,웰크론강원,"구조용 금속제품, 탱크 및 증기발생기 제조업"
112040.KQ,위메이드,소프트웨어 개발 및 공급업
203450.KQ,유니온커뮤니티,통신 및 방송 장비 제조업
024800.KQ,유성티엔에스,육상 여객 운송업
069330.KQ,유아이디,전자부품 제조업
084370.KQ,유진테크,특수 목적용 기계 제조업
178780.KQ,유테크,전자부품 제조업
272290.KQ,이녹스첨단소재,전자부품 제조업
078020.KQ,이베스트투자증권,금융 지원 서비스업
067010.KQ,이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
223310.KQ,이에스브이,소프트웨어 개발 및 공급업
095190.KQ,이엠코리아,특수 목적용 기계 제조업
091120.KQ,이엠텍,전자부품 제조업
016250.KQ,이테크건설,건물 건설업
134060.KQ,이퓨쳐,"서적, 잡지 및 기타 인쇄물 출판업"
024810.KQ,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
039290.KQ,인포뱅크,기타 정보 서비스업
049550.KQ,잉크테크,기타 화학제품 제조업
234920.KQ,자이글,가정용 기기 제조업
123330.KQ,제닉,기타 화학제품 제조업
