093520.KQ,매커스,기계장비 및 관련 물품 도매업
067280.KQ,멀티캠퍼스,기타 교육기관
018700.KQ,바른손,음식점업
142760.KQ,바이오리더스,자연과학 및 공학 연구개발업
038460.KQ,바이오스마트,전자부품 제조업
032980.KQ,바이온,음·식료품 및 담배 도매업
043150.KQ,바텍,의료용 기기 제조업
036620.KQ,버추얼텍,기타 전문 도매업
033560.KQ,블루콤,영상 및 음향기기 제조업
200780.KQ,비씨월드제약,의약품 제조업
023600.KQ,삼보판지,"펄프, 종이 및 판지 제조업"
032280.KQ,삼일,도로 화물 운송업
032750.KQ,삼진,통신 및 방송 장비 제조업
054090.KQ,삼진엘앤디,전자부품 제조업
017480.KQ,삼현철강,1차 철강 제조업
091580.KQ,상신이디피,일차전지 및 축전지 제조업
100660.KQ,서암기계공업,일반 목적용 기계 제조업
019770.KQ,서연탑메탈,특수 목적용 기계 제조업
063170.KQ,서울옥션,상품 중개업
011560.KQ,세보엠이씨,건물설비 설치 공사업
053450.KQ,세코닉스,사진장비 및 광학기기 제조업
066910.KQ,손오공,"인형,장난감 및 오락용품 제조업"
043100.KQ,솔고바이오,의료용 기기 제조업
253450.KQ,스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업"
025870.KQ,신라에스지,수산물 가공 및 저장 처리업
257730.KQ,신한제3호스팩,금융 지원 서비스업
122800.KQ,썬텍,금속 주조업
037760.KQ,쎄니트,1차 철강 제조업
066790.KQ,씨씨에스,텔레비전 방송업
225330.KQ,씨엠에스에듀,일반 교습 학원
013990.KQ,아가방컴퍼니,생활용품 도매업
099190.KQ,아이센스,의료용 기기 제조업
097780.KQ,에스맥,통신 및 방송 장비 제조업
065420.KQ,에스아이리소스,석탄 광업
095910.KQ,에스에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
060540.KQ,에스에이티,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
056190.KQ,에스에프에이,특수 목적용 기계 제조업
080000.KQ,에스엔유,특수 목적용 기계 제조업
096630.KQ,에스코넥,통신 및 방송 장비 제조업
058610.KQ,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
067630.KQ,에이치엘비생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업"
109960.KQ,에이프로젠 H&G,통신 및 방송 장비 제조업
038870.KQ,에코바이오,건물설비 설치 공사업
036810.KQ,에프에스티,전자부품 제조업
063440.KQ,에프엔씨애드컬쳐,기록매체 복제업
067570.KQ,엔브이에이치코리아,자동차 신품 부품 제조업
048830.KQ,엔피케이,합성고무 및 플라스틱 물질 제조업
170920.KQ,엘티씨,기초 화학물질 제조업
115960.KQ,연우,플라스틱제품 제조업
122640.KQ,예스티,특수 목적용 기계 제조업
241790.KQ,오션브릿지,기타 화학제품 제조업
052770.KQ,와이디온라인,소프트웨어 개발 및 공급업
122870.KQ,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업
073560.KQ,우리손에프앤지,축산업
082850.KQ,우리이티아이,전구 및 조명장치 제조업
046940.KQ,우원개발,기반조성 및 시설물 축조관련 전문공사업
065680.KQ,우주일렉트로,전자부품 제조업
030530.KQ,원익홀딩스,기타 금융업
241690.KQ,유니테크노,자동차 신품 부품 제조업
048430.KQ,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
049520.KQ,유아이엘,전자부품 제조업
052190.KQ,이에스에이,창작 및 예술관련 서비스업
033600.KQ,이젠텍,자동차 신품 부품 제조업
096040.KQ,이트론,컴퓨터 및 주변장치 제조업
001840.KQ,이화공영,건물 건설업
119610.KQ,인터로조,사진장비 및 광학기기 제조업
064290.KQ,인텍플러스,특수 목적용 기계 제조업
058450.KQ,일야,통신 및 방송 장비 제조업
019540.KQ,일지테크,자동차 신품 부품 제조업
950140.KQ,잉글우드랩,기타 금융업
174880.KQ,장원테크,통신 및 방송 장비 제조업
049630.KQ,재영솔루텍,사진장비 및 광학기기 제조업
217190.KQ,제너셈,특수 목적용 기계 제조업
090470.KQ,제이스텍,특수 목적용 기계 제조업
033050.KQ,제이엠아이,기록매체 복제업
036420.KQ,제이콘텐트리,기타 금융업
038010.KQ,제일테크노스,"구조용 금속제품, 탱크 및 증기발생기 제조업"
003380.KQ,제일홀딩스,기타 금융업
080220.KQ,제주반도체,반도체 제조업
054180.KQ,중앙오션,선박 및 보트 건조업
043610.KQ,지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
208350.KQ,지란지교시큐리티,소프트웨어 개발 및 공급업
900090.KQ,차이나하오란,기타 금융업
180400.KQ,캔서롭,기타 과학기술 서비스업
214370.KQ,케어젠,기초 의약물질 및 생물학적 제제 제조업
220260.KQ,켐트로스,기타 화학제품 제조업
094860.KQ,코닉글로리,소프트웨어 개발 및 공급업
080530.KQ,코디,기타 화학제품 제조업
078650.KQ,코렌,사진장비 및 광학기기 제조업
241710.KQ,코스메카코리아,기타 화학제품 제조업
060280.KQ,큐렉소,기타 상품 전문 소매업
182360.KQ,큐브엔터,오디오물 출판 및 원판 녹음업
066310.KQ,큐에스아이,반도체 제조업
043590.KQ,크로바하이텍,반도체 제조업
044490.KQ,태웅,기타 금속 가공제품 제조업
196450.KQ,텔루스,사진장비 및 광학기기 제조업
057880.KQ,토필드,영상 및 음향기기 제조업
052290.KQ,트레이스,전자부품 제조업
033830.KQ,티비씨,텔레비전 방송업
104480.KQ,티케이케미칼,화학섬유 제조업
046210.KQ,파나진,의료용품 및 기타 의약 관련제품 제조업
033540.KQ,파라텍,특수 목적용 기계 제조업
140860.KQ,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
038160.KQ,팍스넷,기타 정보 서비스업
032800.KQ,판타지오,창작 및 예술관련 서비스업
087010.KQ,펩트론,기초 의약물질 및 생물학적 제제 제조업
056730.KQ,포스링크,기타 전문 도매업
189690.KQ,포시에스,소프트웨어 개발 및 공급업
094940.KQ,푸른기술,컴퓨터 및 주변장치 제조업
195440.KQ,퓨전데이타,소프트웨어 개발 및 공급업
203690.KQ,프로스테믹스,기초 의약물질 및 생물학적 제제 제조업
131390.KQ,피앤이솔루션,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
024850.KQ,피에스엠씨,전자부품 제조업
161580.KQ,필옵틱스,특수 목적용 기계 제조업
067310.KQ,하나마이크론,반도체 제조업
166090.KQ,하나머티리얼즈,반도체 제조업
066130.KQ,하츠,가정용 기기 제조업
039740.KQ,한국정보공학,기타 전문 도매업
021650.KQ,한국큐빅,플라스틱제품 제조업
030520.KQ,한글과컴퓨터,소프트웨어 개발 및 공급업
047080.KQ,한빛소프트,소프트웨어 개발 및 공급업
070300.KQ,한솔시큐어,소프트웨어 개발 및 공급업
077280.KQ,한컴지엠디,소프트웨어 개발 및 공급업
002680.KQ,한탑,"곡물가공품, 전분 및 전분제품 제조업"
264290.KQ,한화에이스스팩3호,금융 지원 서비스업
008800.KQ,행남자기,"내화, 비내화 요업제품 제조업"
145020.KQ,휴젤,기초 의약물질 및 생물학적 제제 제조업
211270.KQ,AP위성,통신 및 방송 장비 제조업
045890.KQ,DB라이텍,전구 및 조명장치 제조업
900290.KQ,GRT,기타 금융업
225430.KQ,IBKS제3호스팩,금융 지원 서비스업
065150.KQ,MP그룹,음·식료품 및 담배 도매업
036120.KQ,SCI평가정보,기타 사업지원 서비스업
090730.KQ,SIMPAC Metal,1차 철강 제조업
036490.KQ,SK머티리얼즈,기초 화학물질 제조업
032540.KQ,TJ미디어,영상 및 음향기기 제조업
048770.KQ,TPC,일반 목적용 기계 제조업
219580.KQ,골든브릿지제3호스팩,금융 지원 서비스업
019660.KQ,글로본,상품 종합 도매업
091590.KQ,남화토건,건물 건설업
095660.KQ,네오위즈,소프트웨어 개발 및 공급업
042420.KQ,네오위즈홀딩스,기타 금융업
153460.KQ,네이블커뮤니케이션즈,소프트웨어 개발 및 공급업
073070.KQ,넥센테크,자동차 신품 부품 제조업
081970.KQ,넥스지,소프트웨어 개발 및 공급업
069140.KQ,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업"
008830.KQ,대동기어,특수 목적용 기계 제조업
048470.KQ,대동스틸,1차 철강 제조업
025440.KQ,대성엘텍,영상 및 음향기기 제조업
120240.KQ,대정화금,기초 화학물질 제조업
213420.KQ,덕산네오룩스,전자부품 제조업
099410.KQ,동방선기,선박 및 보트 건조업
230490.KQ,동부제4호스팩,금융 지원 서비스업
079960.KQ,동양이엔피,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
030350.KQ,드래곤플라이,소프트웨어 개발 및 공급업
066670.KQ,디스플레이텍,전자부품 제조업
263720.KQ,디앤씨미디어,"서적, 잡지 및 기타 인쇄물 출판업"
066900.KQ,디에이피,전자부품 제조업
134580.KQ,디엠티,통신 및 방송 장비 제조업
105740.KQ,디케이락,일반 목적용 기계 제조업
038390.KQ,레드캡투어,여행사 및 기타 여행보조 서비스업
067730.KQ,로지시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
071280.KQ,로체시스템즈,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
060240.KQ,룽투코리아,소프트웨어 개발 및 공급업
058470.KQ,리노공업,전자부품 제조업
016100.KQ,리더스코스메틱,기타 화학제품 제조업
035480.KQ,마제스타,유원지 및 기타 오락관련 서비스업
005990.KQ,매일홀딩스,기타 금융업
041920.KQ,메디아나,의료용 기기 제조업
065650.KQ,메디프론,기계장비 및 관련 물품 도매업
161570.KQ,미동앤씨네마,영상 및 음향기기 제조업
028040.KQ,미래SCI,기타 비금속 광물제품 제조업
218150.KQ,미래생명자원,동물용 사료 및 조제식품 제조업
064520.KQ,바른전자,반도체 제조업
053030.KQ,바이넥스,의약품 제조업
090460.KQ,비에이치,전자부품 제조업
083650.KQ,비에이치아이,일반 목적용 기계 제조업
093190.KQ,빅솔론,컴퓨터 및 주변장치 제조업
072950.KQ,빛샘전자,전자부품 제조업
082660.KQ,삼우엠스,통신 및 방송 장비 제조업
189860.KQ,서전기전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
011370.KQ,서한,건물 건설업
015750.KQ,성우하이텍,자동차 신품 부품 제조업
017510.KQ,세명전기,기타 금속 가공제품 제조업
100700.KQ,세운메디칼,의료용품 및 기타 의약 관련제품 제조업
024830.KQ,세원물산,자동차 신품 부품 제조업
036830.KQ,솔브레인,기타 화학제품 제조업
033790.KQ,스카이문스테크놀로지,통신 및 방송 장비 제조업
013810.KQ,스페코,특수 목적용 기계 제조업
039670.KQ,스포츠서울,"서적, 잡지 및 기타 인쇄물 출판업"
065350.KQ,신성델타테크,가정용 기기 제조업
263770.KQ,신영스팩3호,금융 지원 서비스업
017000.KQ,신원종합개발,건물 건설업
136510.KQ,쎄미시스코,특수 목적용 기계 제조업
058220.KQ,아리온,통신 및 방송 장비 제조업
083930.KQ,아바코,특수 목적용 기계 제조업
149950.KQ,아바텍,전자부품 제조업
127710.KQ,아시아경제,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
054800.KQ,아이디스홀딩스,기타 금융업
040910.KQ,아이씨디,특수 목적용 기계 제조업
185490.KQ,아이진,자연과학 및 공학 연구개발업
124500.KQ,아이티센,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
096610.KQ,알에프세미,반도체 제조업
148250.KQ,알엔투테크놀로지,전자부품 제조업
052790.KQ,액토즈소프트,소프트웨어 개발 및 공급업
174900.KQ,앱클론,의료용품 및 기타 의약 관련제품 제조업
030270.KQ,에스마크,방적 및 가공사 제조업
042110.KQ,에스씨디,가정용 기기 제조업
900080.KQ,에스앤씨엔진그룹,기타 금융업
160600.KQ,에스엔텍,특수 목적용 기계 제조업
043220.KQ,에이치엘비파워,상품 종합 도매업
071670.KQ,에이테크솔루션,특수 목적용 기계 제조업
182400.KQ,에이티젠,기초 의약물질 및 생물학적 제제 제조업
214870.KQ,에치디프로,통신 및 방송 장비 제조업
086520.KQ,에코프로,기타 화학제품 제조업
083500.KQ,에프엔에스테크,특수 목적용 기계 제조업
205100.KQ,엑셈,소프트웨어 개발 및 공급업
092870.KQ,엑시콘,특수 목적용 기계 제조업
069410.KQ,엔텔스,소프트웨어 개발 및 공급업
061970.KQ,엘비세미콘,반도체 제조업
156100.KQ,엘앤케이바이오,의료용 기기 제조업
259630.KQ,엠플러스,특수 목적용 기계 제조업
090740.KQ,연이정보통신,전자부품 제조업
007530.KQ,영신금속,기타 금속 가공제품 제조업
036000.KQ,예림당,"서적, 잡지 및 기타 인쇄물 출판업"
052420.KQ,오성엘에스티,플라스틱제품 제조업
066590.KQ,우수AMS,자동차 신품 부품 제조업
036090.KQ,위지트,특수 목적용 기계 제조업
018000.KQ,유니슨,일반 목적용 기계 제조업
089850.KQ,유비벨록스,소프트웨어 개발 및 공급업
023410.KQ,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
039020.KQ,이건홀딩스,기타 금융업
053350.KQ,이니텍,소프트웨어 개발 및 공급업
226360.KQ,이엑스티,"건축기술, 엔지니어링 및 관련 기술 서비스업"
102710.KQ,이엔에프테크놀로지,기타 화학제품 제조업
063760.KQ,이엘피,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
088290.KQ,이원컴포텍,자동차 신품 부품 제조업
189300.KQ,인텔리안테크,통신 및 방송 장비 제조업
022220.KQ,정산애강,플라스틱제품 제조업
147830.KQ,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업"
044060.KQ,조광ILI,일반 목적용 기계 제조업
114570.KQ,지스마트글로벌,반도체 제조업
051160.KQ,지어소프트,소프트웨어 개발 및 공급업
065060.KQ,지엔코,봉제의복 제조업
018290.KQ,지엠피,컴퓨터 및 주변장치 제조업
066360.KQ,체리부로,"도축, 육류 가공 및 저장 처리업"
050110.KQ,캠시스,전자부품 제조업
083550.KQ,케이엠,기타 섬유제품 제조업
089010.KQ,켐트로닉스,기타 화학제품 제조업
052400.KQ,코나아이,소프트웨어 개발 및 공급업
047770.KQ,코데즈컴바인,봉제의복 제조업
041960.KQ,코미팜,의약품 제조업
102940.KQ,코오롱생명과학,기초 의약물질 및 생물학적 제제 제조업
072520.KQ,태양씨앤엘,전자부품 제조업
191420.KQ,테고사이언스,기초 의약물질 및 생물학적 제제 제조업
066700.KQ,테라젠이텍스,의약품 제조업
131970.KQ,테스나,"그외 기타 전문, 과학 및 기술 서비스업"
091440.KQ,텔레필드,통신 및 방송 장비 제조업
079970.KQ,투비소프트,소프트웨어 개발 및 공급업
177830.KQ,파버나인,전자부품 제조업
047310.KQ,파워로직스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
027710.KQ,팜스토리,동물용 사료 및 조제식품 제조업
039230.KQ,폭스브레인,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
137400.KQ,피엔티,특수 목적용 기계 제조업
270520.KQ,하나금융10호스팩,금융 지원 서비스업
041460.KQ,한국전자인증,소프트웨어 개발 및 공급업
054040.KQ,한국컴퓨터,전자부품 제조업
092460.KQ,한라IMS,선박 및 보트 건조업
066110.KQ,한프,컴퓨터 및 주변장치 제조업
265920.KQ,한화수성스팩,금융 지원 서비스업
064240.KQ,홈캐스트,영상 및 음향기기 제조업
086250.KQ,화신테크,특수 목적용 기계 제조업
097870.KQ,효성오앤비,"비료, 농약 및 살균, 살충제 제조업"
243070.KQ,휴온스,의약품 제조업
189980.KQ,흥국에프엔비,비알코올음료 및 얼음 제조업
