000850.KS,화천기공,특수 목적용 기계 제조업
032560.KS,황금에스티,1차 비철금속 제조업
005010.KS,휴스틸,1차 철강 제조업
097950.KS,CJ제일제당,기타 식품 제조업
155660.KS,DSR,1차 비철금속 제조업
007700.KS,F&F,봉제의복 제조업
007070.KS,GS리테일,종합 소매업
009440.KS,KC그린홀딩스,기타 금융업
092230.KS,KPX홀딩스,기타 금융업
058850.KS,KTcs,기타 정보 서비스업
010120.KS,LS산전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
035420.KS,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
181710.KS,NHN엔터테인먼트,소프트웨어 개발 및 공급업
034310.KS,NICE,기타 금융업
064960.KS,S&T모티브,자동차 신품 부품 제조업
010950.KS,S-Oil,석유 정제품 제조업
011790.KS,SKC,기타 화학제품 제조업
210980.KS,SK디앤디,부동산 임대 및 공급업
001510.KS,SK증권,금융 지원 서비스업
000050.KS,경방,방적 및 가공사 제조업
009140.KS,경인전자,전자부품 제조업
004200.KS,고려개발,토목 건설업
030610.KS,교보증권,금융 지원 서비스업
005720.KS,넥센,기타 금융업
002350.KS,넥센타이어,고무제품 제조업
005250.KS,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업
004130.KS,대덕GDS,전자부품 제조업
005750.KS,대림비앤코,"내화, 비내화 요업제품 제조업"
004440.KS,대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
001680.KS,대상,기타 식품 제조업
084690.KS,대상홀딩스,기타 금융업
014160.KS,대영포장,"골판지, 종이 상자 및 종이용기 제조업"
001070.KS,대한방직,직물직조 및 직물제품 제조업
069460.KS,대호에이엘,1차 비철금속 제조업
001620.KS,동국실업,자동차 신품 부품 제조업
026960.KS,동서,음·식료품 및 담배 도매업
170900.KS,동아에스티,의약품 제조업
008970.KS,동양철관,1차 철강 제조업
003580.KS,동원,기타 비금속광물 광업
011160.KS,두산건설,건물 건설업
007340.KS,디티알오토모티브,고무제품 제조업
004990.KS,롯데지주,기타 식품 제조업
008560.KS,메리츠종금증권,금융 지원 서비스업
009580.KS,무림P&P,"펄프, 종이 및 판지 제조업"
033920.KS,무학,알코올음료 제조업
002410.KS,범양건영,건물 건설업
003960.KS,사조대림,수산물 가공 및 저장 처리업
079660.KS,사조해표,기타 식품 제조업
028260.KS,삼성물산,기타 전문 도매업
028050.KS,삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
001360.KS,삼성제약,의약품 제조업
145990.KS,삼양사,기타 식품 제조업
003230.KS,삼양식품,기타 식품 제조업
023000.KS,삼원강재,자동차 신품 부품 제조업
000520.KS,삼일제약,의약품 제조업
004410.KS,서울식품공업,기타 식품 제조업
004980.KS,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004490.KS,세방전지,일차전지 및 축전지 제조업
091090.KS,세원셀론텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
005800.KS,신영와코루,봉제의복 제조업
004080.KS,신흥,기계장비 및 관련 물품 도매업
003410.KS,쌍용양회공업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
090370.KS,아비스타,봉제의복 제조업
183190.KS,아세아시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
002310.KS,아세아제지,"골판지, 종이 상자 및 종이용기 제조업"
039570.KS,아이콘트롤스,전기 및 통신 공사업
007630.KS,암니스,통신 및 방송 장비 제조업
111770.KS,영원무역,상품 종합 도매업
017370.KS,우신시스템,특수 목적용 기계 제조업
047400.KS,유니온머티리얼,"내화, 비내화 요업제품 제조업"
011690.KS,유양디앤유,반도체 제조업
023800.KS,인지컨트롤스,자동차 신품 부품 제조업
023810.KS,인팩,자동차 신품 부품 제조업
226320.KS,잇츠한불,생활용품 도매업
033240.KS,자화전자,전자부품 제조업
089590.KS,제주항공,항공 여객 운송업
001630.KS,종근당홀딩스,기타 금융업
272450.KS,진에어,항공 여객 운송업
005420.KS,코스모화학,기타 화학제품 제조업
002020.KS,코오롱,기타 금융업
144620.KS,코오롱머티리얼,화학섬유 제조업
264900.KS,크라운제과,기타 식품 제조업
039490.KS,키움증권,금융 지원 서비스업
015890.KS,태경산업,기초 화학물질 제조업
006890.KS,태경화학,기초 화학물질 제조업
009410.KS,태영건설,토목 건설업
028670.KS,팬오션,해상 운송업
152550.KS,한국ANKOR유전,신탁업 및 집합투자업
002200.KS,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업"
015760.KS,한국전력공사,전기업
006200.KS,한국전자홀딩스,기타 금융업
024720.KS,한국콜마홀딩스,기타 금융업
168490.KS,한국패러랠,신탁업 및 집합투자업
105630.KS,한세실업,봉제의복 제조업
009180.KS,한솔로지스틱스,기타 운송관련 서비스업
002220.KS,한일철강,1차 철강 제조업
052690.KS,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
005110.KS,한창,기계장비 및 관련 물품 도매업
064350.KS,현대로템,철도장비 제조업
012330.KS,현대모비스,자동차 신품 부품 제조업
004020.KS,현대제철,1차 철강 제조업
001040.KS,CJ,기타 금융업
005830.KS,DB손해보험,보험업
000990.KS,DB하이텍,반도체 제조업
004840.KS,DRB동일,기타 금융업
001250.KS,GS글로벌,상품 종합 도매업
001060.KS,JW중외제약,의약품 제조업
001940.KS,KISCO홀딩스,기타 금융업
044450.KS,KSS해운,해상 운송업
066570.KS,LG전자,통신 및 방송 장비 제조업
000680.KS,LS네트웍스,상품 종합 도매업
010060.KS,OCI,기초 화학물질 제조업
036530.KS,S&T홀딩스,기타 금융업
001380.KS,SG충방,자동차 신품 부품 제조업
009160.KS,SIMPAC,특수 목적용 기계 제조업
285130.KS,SK케미칼,합성고무 및 플라스틱 물질 제조업
